ID,FACILITY NAME,LICENSEE,COMPANY,ADDRESS,,latitude,longitude,CITY,POSTAL CODE,PROVINCE,COUNTRY,LHIN,TYPE,HOSPITAL,CLASS,Total,A,B,C,D,Upgraded D,New,Long Stay,Convalescent Care,Respite,ELDCAP,Veterans' Priority Access,Beds in Abeyance (BIA),Designated Specialized Unit,Other,Interim,LS License Expiry,Up for Redev.,MANAGED BY
NH3780,CHARTWELL PINE GROVE LONG TERM CARE RESIDENCE,Chartwell Master Care Lp,Chartwell,8403 Islington Avenue North,,,,Woodbridge,L4L 1X3,Ontario,Canada,Central West,For-Profit,,New,96,,,,,,96,95,,1,,,,,,,12/10/2043,,
H11308,KIPLING ACRES,Toronto Long-Term Care Homes And Services,City of Toronto,2233 Kipling Avenue,,,,Etobicoke,M9W 4L3,Ontario,Canada,Central West,Municipal,,New,337,,,,,,337,318,17,2,,,,,,,Municipal,,
H11048,DUFFERIN OAKS,Corporation Of The County Of Dufferin,County of Dufferin,151 Centre Street,,,,Shelburne,L0N 1S4,Ontario,Canada,Central West,Municipal,,New,160,,,,,,160,160,,,,,,,,,Municipal,,
H12095,GOLDEN MANOR,Corporation Of The City Of Timmins,City Of Timmins,481 Melrose Boulevard,,,,Timmins,P4N 5H3,Ontario,Canada,North East,Municipal,,B,177,,177,,,,,171,,1,,5,,,,,Municipal,Yes,
NH2847,EXTENDICARE BRAMPTON,Extendicare (Canada) Inc.,Extendicare,7891 Mclaughlin Road,,,,Brampton,L6Y 5H8,Ontario,Canada,Central West,For-Profit,,New,150,,,,,,150,138,12,,,,,,,,6/30/2030,,
NH1349,EXTENDICARE SCARBOROUGH,Extendicare (Canada) Inc.,Extendicare,3830 Lawrence Avenue East,"43.7637688, -79.21012569999999",43.76377,-79.21013,Scarborough,M1G 1R6,Ontario,Canada,Central East,For-Profit,,C,154,,,154,,,,127,20,3,,,4,,,,6/30/2025,Yes,
NH4492,GRACE MANOR,Holland Christian Homes Inc.,Holland Christian Homes Inc.,45 Kingknoll Drive,,,,Brampton,L6Y 5P2,Ontario,Canada,Central West,Not-For-Profit,,A,120,120,,,,,,120,,,,,,,,,6/30/2030,,
NH3332,PINECREST NURSING HOME,Medlaw Corporation Limited,Medlaw Corporation Limited,3418 County Road 36,"44.5287162, -78.533351",44.52872,-78.53335,Bobcaygeon,K0M 1A0,Ontario,Canada,Central East,For-Profit,,C,65,,,65,,,,65,,,,,,,,,6/30/2025,Yes,
NH2923,STREAMWAY VILLA,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,19 James Street West,"44.59752539999999, -79.4126788",44.59753,-79.41268,Cobourg,K9A 2J8,Ontario,Canada,Central East,For-Profit,,C,59,,,59,,,,59,,,,,,,,,6/30/2025,Yes,
H11401,FUDGER HOUSE,Toronto Long-Term Care Homes And Services,City of Toronto,439 Sherbourne Street,,,,Toronto,M4X 1K6,Ontario,Canada,Toronto Central,Municipal,,B,250,,250,,,,,240,9,1,,,,,,,Municipal,Yes,
HF4440,MALTON VILLAGE LONG TERM CARE CENTRE,The Regional Municipality Of Peel,Municipality of Peel,7075 Rexwood Road,,,,Mississauga,L4T 4M1,Ontario,Canada,Central West,Municipal,,New,160,,,,,,160,160,,,,,,,,,Municipal,,
H11719,PEEL MANOR,The Regional Municipality Of Peel,Municipality of Peel,525 Main Street North,,,,Brampton,L6X 1N9,Ontario,Canada,Central West,Municipal,,A,177,177,,,,,,174,,,,3,,,,,Municipal,,
NH3254,FROST MANOR,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,225 Mary Street West,"43.8812353, -78.94492810000001",43.88124,-78.94493,Lindsay,K9V 5K3,Ontario,Canada,Central East,For-Profit,,C,62,,,62,,,,62,,,,,,,,,6/30/2025,Yes,
H14439,TALL PINES LONG TERM CARE CENTRE,The Regional Municipality Of Peel,Municipality of Peel,1001 Peter Robertson Blvd.,,,,Brampton,L6R 2Y3,Ontario,Canada,Central West,Municipal,,New,160,,,,,,160,160,,,,,,,,,Municipal,,
NH3335,THE DAVIS CENTRE,Peel Housing Corporation,Peel Housing Corporation,80 Allan Drive,,,,Bolton,L7E 1P7,Ontario,Canada,Central West,Not-For-Profit,,A,64,64,,,,,,64,,,,,,,,,6/30/2035,,
NH3304,RIVERVIEW MANOR NURSING HOME,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,1155 Water Street,"42.078786, -76.8369814",42.07879,-76.83698,Peterborough,K9H 3P8,Ontario,Canada,Central East,For-Profit,,C,125,,,124,,,,124,,,,,,,1,,6/30/2025,Yes,
NH4494,BURTON MANOR,1245556 Ontario Inc. o/a Burton Manor,Primacare Living,5 Sterritt Drive,,,,Brampton,L6Y 5P3,Ontario,Canada,Central West,For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2035,,Primacare Living Solutions Inc.
NH3635,COLLINGWOOD NURSING HOME,Collingwood Nursing Home Limited,Collingwood Nursing Home Limited,250 Campbell Street,,,,Collingwood,L9Y 4J9,Ontario,Canada,North Simcoe Muskoka,For-Profit,,B,64,,64,,,,,59,4,,,1,,,,,6/30/2025,Yes,
NH2859,THE VILLAGE OF SANDALWOOD PARK,Schlegel Villages,Schlegel Villages Inc.,425 Great Lakes Drive,,,,Brampton,L6R 2W8,Ontario,Canada,Central West,For-Profit,,New,120,,,,,,120,120,,,,,,,,,6/30/2030,,
NH3338,VALLEY PARK LODGE,955464 Ontario Ltd,Conmed Health Care Group,6400 Valley Way,,,,Niagara Falls,L2E 7E3,Ontario,Canada,HNHB,For-Profit,,B,65,,65,,,,,64,,,,1,,,,,6/30/2025,Yes,
NH1771,SPRINGDALE COUNTRY MANOR,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,2698 Clifford Line,"44.2309742, -78.3967539",44.23097,-78.39675,Peterborough,K9J 6X6,Ontario,Canada,Central East,For-Profit,,C,68,,,68,,,,68,,,,,,,,,6/30/2025,Yes,
NH1599,BURNBRAE GARDENS LONG TERM CARE RESIDENCE,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,320 Burnbrae Road East,"44.3031768, -77.7840805",44.30318,-77.78408,Campbellford,K0L 1L0,Ontario,Canada,Central East,For-Profit,,C,43,,,43,,,,43,,,,,,,,,6/30/2025,Yes,
NH4308b,DEERWOOD CREEK CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,70 Humberline Drive,,,,Etobicoke,M9W 7H3,Ontario,Canada,Central West,For-Profit,,A,160,160,,,,,,160,,,,,,,,,6/30/2035,,
NH1222,COPPER TERRACE,Copper Terrace Limited,Copper Terrace Limited,91 Tecumseh Road,,,,Chatham,N7M 1B3,Ontario,Canada,Erie St. Clair,For-Profit,,A / C,150,56,,94,,,,136,,2,,,12,,,,6/30/2025,Yes,
NH2887,HAWTHORN WOODS CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,9257 Goreway Drive,,,,Brampton,L6P 0N5,Ontario,Canada,Central West,For-Profit,,New,160,,,,,,160,150,10,,,,,,,,6/30/2035,,
NH4446,MAPLE GROVE CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,215 Sunny Meadow Blvd.,,,,Brampton,L6R 3B5,Ontario,Canada,Central West,For-Profit,,A,160,160,,,,,,160,,,,,,,,,6/30/2035,,
NH4475,WOODHALL PARK CARE COMMUNITY,The Royale Development GP Corporation as general partner of The Royale Development LP,Sienna Senior Living,10260 Kennedy Road North,,,,Brampton,L6Z 4N7,Ontario,Canada,Central West,For-Profit,,New,147,,,,,,147,147,,,,,,,,,6/30/2035,,
NH2945,WOODBRIDGE VISTA CARE COMMUNITY,2063414 Ontario Limited as general partner of 2063414 Investment LP,Sienna Senior Living,5400 Steeles Avenue West,,,,Woodbridge,L4L 9S1,Ontario,Canada,Central West,For-Profit,,New,224,,,,,,224,224,,,,,,,,,6/30/2035,,
NH3116,FAIRVIEW MANOR,Almonte General Hospital,Almonte General Hospital,75 Spring Street,,,,Almonte,K0A 1A0,Ontario,Canada,Champlain,Not-For-Profit,,New,112,,,,,,112,111,,1,,,,,,,4/16/2037,,
NH1773,CARESSANT CARE BOURGET,Caressant-Care Nursing And Retirement Homes Limited,Caressant Care,2279 Laval Street,,,,Bourget,K0A 1E0,Ontario,Canada,Champlain,For-Profit,,C / New,56,,,46,,,10,56,,,,,,,,,7/31/2023,Yes,
NH4259,CARESSANT CARE COBDEN,Caressant-Care Nursing And Retirement Homes Limited,Caressant Care,12 Wren Drive,,,,Cobden,K0J 1K0,Ontario,Canada,Champlain,For-Profit,,New,64,,,,,,64,64,,,,,,,,,6/30/2035,,
H11693,CENTRE D'ACCUEIL CHAMPLAIN,City Of Ottawa,City Of Ottawa,275 Perrier Street,,,,Vanier,K1L 5C6,Ontario,Canada,Champlain,Municipal,,A,160,160,,,,,,160,,,,,,,,,Municipal,,
H11655,CARLETON LODGE,City Of Ottawa,City Of Ottawa,55 Lodge Road,,,,Nepean,K2C 3H1,Ontario,Canada,Champlain,Municipal,,A,160,160,,,,,,160,,,,,,,,1,Municipal,,
H13364,ROCKWOOD TERRACE HOME FOR THE AGED,Corporation Of The County Of Grey,County Of Grey,575 Saddler Street East,,,,Durham,N0G 1R0,Ontario,Canada,South West,Municipal,,B,100,,100,,,,,100,,,,,,,,,Municipal,Yes,
HF4588,GARRY J. ARMSTRONG HOME,City Of Ottawa,City Of Ottawa,200 Island Lodge Road,,,,Ottawa,K1N 5M2,Ontario,Canada,Champlain,Municipal,,New,180,,,,,,180,180,,,,,,,,,Municipal,,
H14306,PETER D. CLARK CENTRE,City Of Ottawa,City Of Ottawa,9 Meridian Place,,,,Ottawa,K2G 6P8,Ontario,Canada,Champlain,Municipal,,New,211,,,,,,211,211,,,,,,,,5,Municipal,,
54510,MIRAMICHI LODGE,County Of Renfrew,County Of Renfrew,725 Pembroke Street West,,,,Pembroke,K8A 8S6,Ontario,Canada,Champlain,Municipal,,New,166,,,,,,166,162,,2,,2,,,,,Municipal,,
NH4420,THE FOUR SEASONS LODGE,Deep River And District Hospital,Deep River And District Hospital,117 Banting Drive,,,,Deep River,K0J 1P0,Ontario,Canada,Champlain,Not-For-Profit,,New,10,,,,,,10,10,,,,,,,,4,Unknown,,
NH2790,GROVES PARK LODGE,Gem Health Care Group Limited,Gem Health Care Group Limited,470 Raglan Street North,,,,Renfrew,K7V 1P5,Ontario,Canada,Champlain,For-Profit,,C / New,85,,,53,,,32,75,,,,,4,,6,11,4/19/2026,Yes,
732,KEMPTVILLE DISTRICT HOSPITAL,Kemptville District Hospital,Kemptville District Hospital,2675 Concession Road,,,,Kemptville,K0G 1J0,Ontario,Canada,Champlain,Not-For-Profit,,A,8,8,,,,,,,8,,,,,,,4,2020,,
H11602,GOLDEN PLOUGH LODGE,The Corporation Of The County Of Northumberland,County of Northumberland,983 Burnham Street,,,,Cobourg,K9A 5J6,Ontario,Canada,Central East,Municipal,,B / C,151,,64,87,,,,148,,,,3,,,,,Municipal,Yes,
NH3709,TSIIONKWANONHSOTE,Mohawk Council Of Akwesasne,Mohawk Council Of Akwesasne,70 Kawehnoke Apartments Road,,,,Akwesasne,K6H 5R7,Ontario,Canada,Champlain,Not-For-Profit,,A,50,50,,,,,,50,,,,,,,,,6/30/2035,,Assured Care
H23741,NORTH RENFREW LONG-TERM CARE SERVICES INC.,North Renfrew Long-Term Care Services Inc.,North Renfrew Long-Term Care Services Inc.,47 Ridge Road,,,,Deep River,K0J 1P0,Ontario,Canada,Champlain,Not-For-Profit,,A,21,21,,,,,,20,,1,,,,,,,6/30/2030,,
NH4301,FOREST HILL,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,6501 Campeau Drive,,,,Kanata,K2K 3E9,Ontario,Canada,Champlain,For-Profit,,New,156,,,,,,156,156,,,,,,,,4,Unknown,,
NH1624,FOSTERBROOKE,Revera Long Term Care Inc.,Revera,330 King Street West,"43.646693, -79.39021",43.64669,-79.39021,Newcastle,L1B 1G9,Ontario,Canada,Central East,For-Profit,,C,88,,,88,,,,87,,1,,,,,,,6/30/2025,Yes,
NH4393,GARDEN TERRACE,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,100 Aird Place,,,,Kanata,K2L 4H8,Ontario,Canada,Champlain,For-Profit,,New,160,,,,,,160,154,,6,,,,,,,6/30/2035,,
H21878,ST. JOSEPH'S CONTINUING CARE CENTRE,"Religious Hospitalers Of St. Joseph Of Cornwall, Ontario","Religious Hospitalers Of St. Joseph Of Cornwall, Ontario",14 York Street,,,,Cornwall,K6J 5T2,Ontario,Canada,Champlain,Not-For-Profit,,New,150,,,,,,150,150,,,,,,,,,12/6/2032,,
NH4322,LONGFIELDS MANOR,Revera Long Term Care Inc.,Revera,330 Beatrice Drive,,,,Nepean,K2J 5A5,Ontario,Canada,Champlain,For-Profit,,New,114,,,,,,114,114,,,,,,,,,6/30/2035,,
NH4404,MONTFORT,Revera Long Term Care Inc.,Revera,705 Montreal Road,,,,Ottawa,K1K 0M9,Ontario,Canada,Champlain,For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2035,,
NH4388,GRANITE RIDGE CARE COMMUNITY,Royal Development GP Corporation as general partner of The Royale Development LP,Royal Development GP Corporation as general partner of The Royale Development LP,5501 Abbott Street East,,,,Stittsville,K2S 2C5,Ontario,Canada,Champlain,For-Profit,,A,224,224,,,,,,224,,,,,,,,,6/30/2035,,
4482,ROYAL OTTAWA PLACE,Royal Ottawa Health Care Group,Royal Ottawa Health Care Group,1145 Carling Avenue,,,,Ottawa,K1Z 7K4,Ontario,Canada,Champlain,Not-For-Profit,,New,70,,,,,,70,63,,1,,,6,,,,6/30/2030,,
NH2636,REACHVIEW VILLAGE,Revera Long Term Care Inc.,Revera,130 Reach Street,"44.1040786, -79.1118959",44.10408,-79.11190,Uxbridge,L9P 1L3,Ontario,Canada,Central East,For-Profit,,C,100,,,100,,,,100,,,,,,,,,6/30/2025,Yes,
NH3654,CROWN RIDGE PLACE,Crown Ridge Health Care Services Inc.,Crown Ridge Health Care Services Inc.,106 Crown Street,,,,Trenton,K8V 6R3,Ontario,Canada,South East,For-Profit,,A / New,122,26,,,,,96,121,,1,,,,,,,8/23/2039,,
NH1186,WESTGATE LODGE NURSING HOME,Crown Ridge Health Care Services Inc.,Crown Ridge Health Care Services Inc.,37 Wilkie Street,,,,Belleville,K8P 4E4,Ontario,Canada,South East,For-Profit,,A / B,88,24,64,,,,,87,,1,,,,,,,6/30/2025,Yes,
NH4687,MADONNA CARE COMMUNITY,Sienna Senior Living,Sienna Senior Living,1541 St. Joseph Boulevard,,,,Orleans,K1C 7L3,Ontario,Canada,Champlain,For-Profit,,New,160,,,,,,160,160,,,,,,,,,10/8/2037,,
95842,MANOIR MAROCHEL,CVH (No. 4) GP Inc. as general partner of CVH (No. 4) LP,Southbridge,949 Montreal Road,,,,Ottawa,K1K 0S6,Ontario,Canada,Champlain,For-Profit,,A,64,64,,,,,,64,,,,,,,,,6/30/2035,,Extendicare Assist
NH1631,THORNTONVIEW,Revera Long Term Care Inc.,Revera,186 Thornton Road South,"43.885835, -78.89222699999999",43.88584,-78.89223,Oshawa,L1J 5Y2,Ontario,Canada,Central East,For-Profit,,C,154,,,104,,,50,154,,,,,,,,,7/1/2022,Yes,
NH1352,KENNEDY LODGE,Revera Long Term Care Inc.,Revera,1400 Kennedy Road,"43.7626344, -79.28056230000001",43.76263,-79.28056,Scarborough,M1P 4V6,Ontario,Canada,Central East,For-Profit,,C,289,,,289,,,,263,18,1,,,7,,,,6/30/2025,Yes,
H21688,ST PATRICK'S HOME,St. Patrick's Home Of Ottawa Inc.,St. Patrick's Home Of Ottawa Inc.,2865 Riverside Drive,,,,Ottawa,K1V 8N5,Ontario,Canada,Champlain,Not-For-Profit,,New,45,,,,,,288,286,,2,,,,,,,12/29/2043,,
NH22848,TONY STACEY CENTRE FOR VETERANS' CARE,Royal Canadian Legion District 'd' Care Centres,Royal Canadian Legion District 'd' Care Centres,59 Lawson Road,"43.783966, -79.16412400000002",43.78397,-79.16412,Toronto,M1C 2J1,Ontario,Canada,Central East,Not-For-Profit,,C,100,,,100,,,,94,,4,,2,,,,,6/30/2025,Yes,
NH1344,ALTAMONT CARE COMMUNITY,Vigour Limited Partnership on behalf of Vigour General Partner Inc.,Sienna Senior Living,92 Island Road,"41.8579117, -71.9002806",41.85791,-71.90028,Scarborough,M1C 2P5,Ontario,Canada,Central East,For-Profit,,C,159,,,159,,,,157,,2,,,,,,,6/30/2025,Yes,
NH1358,ROCKCLIFFE CARE COMMUNITY,Vigour Limited Partnership on behalf of Vigour General Partner Inc.,Sienna Senior Living,3015 Lawrence Avenue East,"43.7546689, -79.2478902",43.75467,-79.24789,Scarborough,M1P 2V7,Ontario,Canada,Central East,For-Profit,,C,204,,,204,,,,202,,2,,,,,,,6/30/2025,Yes,
NH1606,HOPE STREET TERRACE,CVH (No. 6) GP Inc. as General Partner of CVH (No. 6) LP,Southbridge,20 Hope Street South,"43.9545521, -78.28841229999999",43.95455,-78.28841,Port Hope,L1A 2M8,Ontario,Canada,Central East,For-Profit,,C,97,,,97,,,,97,,,,,,,,,6/30/2025,Yes,Extendicare Assist
NH1605,REGENCY LONG TERM CARE HOME,CVH (No. 6) GP Inc. as General Partner of CVH (No. 6) LP,Southbridge,66 Dorset Street East,"43.9507895, -78.2880376",43.95079,-78.28804,Port Hope,L1A 1E3,Ontario,Canada,Central East,For-Profit,,C,60,,,60,,,,58,,2,,,,,,,6/30/2025,Yes,Extendicare Assist
H11873,GLEN-STOR-DUN LODGE,The Corporation Of The City Of Cornwall,The Corporation Of The City Of Cornwall,1900 Montreal Road,,,,Cornwall,K6H 7L1,Ontario,Canada,Champlain,Municipal,,A,132,132,,,,,,129,,1,,2,,,,,Municipal,,
NH3632,EDEN HOUSE NURSING HOME,Eden House Care Facility Inc.,Eden House Care Facility Inc.,5016 Wellington County Road 29,,,,Guelph,N1H 6H8,Ontario,Canada,Waterloo Wellington,For-Profit,,B,58,,58,,,,,58,,,,,,,,,6/30/2025,Yes,
NH1647,SUNNYCREST NURSING HOME,Sunnycrest Nursing Homes Limited,Sunnycrest Nursing Homes Limited,1635 Dundas Street East,"43.8867536, -78.9090085",43.88675,-78.90901,Whitby,L1N 2K9,Ontario,Canada,Central East,For-Profit,,C,136,,,136,,,,136,,,,,,,,,6/30/2025,Yes,
H11812,BONNECHERE MANOR,The County Of Renfrew Bonnechere Manor Long Term Care Home,The County Of Renfrew Bonnechere Manor Long Term Care Home,470 Albert Street,,,,Renfrew,K7V 4L5,Ontario,Canada,Champlain,Municipal,,A,180,180,,,,,,176,,2,,2,,,,,Municipal,,
NH3731,EHATARE NURSING HOME,Estonian Relief Committee In Canada,Estonian Relief Committee In Canada,40 Old Kingston Road,,,,Scarborough,M1E 3J5,Ontario,Canada,Central East,Not-For-Profit,,B,32,,32,,,,,32,,,,,,,,,6/30/2025,Yes,
NH2795,TENDERCARE LIVING CENTRE,Tendercare Nursing Homes Limited,Tendercare Nursing Homes Limited,1020 McNicoll Avenue,"43.80576190000001, -79.3360002",43.80576,-79.33600,Scarborough,M1W 2J6,Ontario,Canada,Central East,For-Profit,,C,254,,,254,,,,244,10,,,,,,,,6/30/2025,Yes,Extendicare Assist
NH4384,THE SALVATION ARMY OTTAWA GRACE MANOR,The Governing Council Of The Salvation Army In Canada,The Governing Council Of The Salvation Army In Canada,1156 Wellington Street,,,,Ottawa,K1Y 2Z3,Ontario,Canada,Champlain,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2030,,
H21660,HILLEL LODGE (THE BESS AND MOE GREENBERG FAMILY),The Ottawa Jewish Home For The Aged,The Ottawa Jewish Home For The Aged,10 Nadolny Sachs Private,,,,Ottawa,K2A 4G7,Ontario,Canada,Champlain,Not-For-Profit,,New,121,,,,,,121,121,,,,,,,,,6/30/2035,,
H23859,THE PERLEY AND RIDEAU VETERANS' HEALTH CENTRE,The Perley And Rideau Veterans' Health Centre,The Perley And Rideau Veterans' Health Centre,1750 Russell Road,,,,Ottawa,K1G 5Z6,Ontario,Canada,Champlain,Not-For-Profit,,A,450,450,,,,,,160,34,6,,250,,,,,6/30/2030,,
H23118,THE WEXFORD,The Wexford Residence Inc.,The Wexford Residence Inc.,1860 Lawrence Avenue East,"43.7439954, -79.3032015",43.74400,-79.30320,Scarborough,M1R 5B1,Ontario,Canada,Central East,Not-For-Profit,,C,166,,,166,,,,166,,,,,,,,,6/30/2025,Yes,
NH4111,VILLA MARCONI,Villa Marconi Long Term Care Center,Villa Marconi Long Term Care Center,1026 Baseline Road,,,,Ottawa,K2C 0A6,Ontario,Canada,Champlain,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,6/30/2035,,"Diversicare Canada Management Services Co., Inc."
NH4485,CHARTWELL ROYAL OAK LONG TERM CARE RESIDENCE,Chartwell Master Care LP,Chartwell,1750 Division Road North,,,,Kingsville,N9Y 4G7,Ontario,Canada,Erie St. Clair,For-Profit,,A,160,160,,,,,,160,,,,,,,,,6/30/2030,,
NH3292,AVALON RETIREMENT CENTRE,488491 Ontario Inc.,Jarlette,355 Broadway Avenue,"41.3988752, -81.5443488",41.39888,-81.54435,Orangeville,L9W 3Y3,Ontario,Canada,Central West,For-Profit,,C,137,,,137,,,,136,,1,,,,,,,6/30/2025,Yes,
HF4670,HURON LODGE LONG TERM CARE HOME,Corporation Of The City Of Windsor,City of Windsor,1881 Cabana Road West,,,,Windsor,N9G 1C7,Ontario,Canada,Erie St. Clair,Municipal,,New,224,,,,,,224,222,,2,,,,,,,Municipal,,
NH2920,WESTSIDE,Revera Long Term Care Inc.,Revera,1145 Albion Road,"43.7372772, -79.567768",43.73728,-79.56777,Etobicoke,M9V 4J7,Ontario,Canada,Central West,For-Profit,,C,242,,,242,,,,216,,2,,,24,,,,6/30/2025,Yes,
NH3290,HUMBER VALLEY TERRACE,Revera Long Term Care Inc.,Revera,95 Humber College Blvd.,"43.7271853, -79.5966297",43.72719,-79.59663,Rexdale,M9V 5B5,Ontario,Canada,Central West,For-Profit,,C,158,,,158,,,,158,,,,,,,,,6/30/2025,Yes,
NH4333,EXTENDICARE LAKEFIELD,Extendicare (Canada) Inc.,Extendicare,19 Fraser Street,,,,Lakefield,K0L 2H0,Ontario,Canada,Central East,For-Profit,,A / New,100,40,,,,,60,98,,2,,,,,,,6/30/2035,,
NH1722,TULLAMORE CARE COMMUNITY,Vigour Limited Partnership on behalf of Vigour General Partner Inc.,Sienna Senior Living,133 Kennedy Road South,"43.6847941, -79.7360271",43.68479,-79.73603,Brampton,L6W 3G3,Ontario,Canada,Central West,For-Profit,,C,159,,,159,,,,159,,,,,,,,,6/30/2025,Yes,
NH3559,SHELBURNE LONG TERM CARE HOME,CVH (No. 8) GP Inc. as general partner of CVH (No. 8) LP,Southbridge,200 Robert Street,"44.0827207, -80.20431169999999",44.08272,-80.20431,Shelburne,L0N 1S1,Ontario,Canada,Central West,For-Profit,,C,60,,,60,,,,58,,2,,,,,,,6/30/2025,Yes,Extendicare Assist
1776,ST. JACQUES NURSING HOME,412506 Ontario Ltd.,412506 Ontario Ltd.,915 Notre Dame Street,"37.9460922, -122.0276507",37.94609,-122.02765,Embrun,K0A 1W0,Ontario,Canada,Champlain,Not-For-Profit,,C,61,,,61,,,,60,,,,,,,1,,6/30/2025,Yes,
H11071,SUN PARLOR HOME FOR SENIOR CITIZENS,The Corporation Of The County Of Essex,County of Essex,175 Talbot Street East,,,,Leamington,N8H 1L9,Ontario,Canada,Erie St. Clair,Municipal,,A,208,208,,,,,,204,,,,2,,,2,,Municipal,,
HF2796,CENTRE D'ACCUEIL ROGER SEGUIN,Centre D'Accueil Roger Seguin,Centre D'Accueil Roger Seguin,435 Lemay Street,"45.5102426, -75.2159507",45.51024,-75.21595,Clarence Creek,K0A 1N0,Ontario,Canada,Champlain,Not-For-Profit,,C,113,,,113,,,,112,,1,,,,,,,6/30/2025,Yes,
NH1781,CHARTWELL CHAMPLAIN LONG TERM CARE RESIDENCE,Chartwell Master Care Lp,Chartwell,428 Front Road West,"45.6297224, -74.67044829999999",45.62972,-74.67045,L'Orignal,K0B 1K0,Ontario,Canada,Champlain,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
H11245,MARSHALL GOWLAND MANOR,The Corporation Of The County Of Lambton,County of Lambton,749 Devine Street,,,,Sarnia,N7T 1X3,Ontario,Canada,Erie St. Clair,Municipal,,A,126,126,,,,,,126,,,,,,,,,Municipal,,
NH3113,CHARTWELL LANCASTER LONG TERM CARE RESIDENCE,Chartwell Master Care LP,Chartwell,105 Military Road North,"45.1462574, -74.50391499999999",45.14626,-74.50391,Lancaster,K0C 1N0,Ontario,Canada,Champlain,For-Profit,,C,60,,,60,,,,60,,,,,,,,,6/30/2025,Yes,
NH53001,DUNDAS MANOR NURSING HOME,Dundas Manor Limited,Dundas Manor Limited,533 Clarence Street,"42.9879505, -81.2498612",42.98795,-81.24986,Winchester,K0C 2K0,Ontario,Canada,Champlain,For-Profit,,C,98,,,98,,,,98,,,,,,,,,6/30/2025,Yes,
NH2922,EXTENDICARE LAURIER MANOR,Extendicare (Canada) Inc.,Extendicare,1715 Montreal Road,"45.4463977, -75.6108387",45.44640,-75.61084,Gloucester,K1J 6N4,Ontario,Canada,Champlain,For-Profit,,C,240,,,240,,,,240,,,,,,,,2,6/30/2025,Yes,
NH1658,EXTENDICARE STARWOOD,Extendicare (Canada) Inc.,Extendicare,114 Starwood Road,"45.3536979, -75.7506606",45.35370,-75.75066,Nepean,K2G 3N5,Ontario,Canada,Champlain,For-Profit,,C,192,,,192,,,,192,,,,,,,,,6/30/2025,Yes,
NH1667,EXTENDICARE MEDEX,Extendicare (Canada) Inc.,Extendicare,1865 Baseline Road,"45.3543546, -75.7583513",45.35435,-75.75835,Ottawa,K2C 3K6,Ontario,Canada,Champlain,For-Profit,,C,193,,,193,,,,193,,,,,,,,,6/30/2025,Yes,
NH1671,EXTENDICARE NEW ORCHARD LODGE,Extendicare (Canada) Inc.,Extendicare,99 New Orchard Avenue,"45.3752535, -75.7790728",45.37525,-75.77907,Ottawa,K2B 5E6,Ontario,Canada,Champlain,For-Profit,,C,111,,,111,,,,109,,2,,,,,,,6/30/2025,Yes,
NH3263,EXTENDICARE WEST END VILLA,Extendicare (Canada) Inc.,Extendicare,2179 Elmira Drive,"45.3546323, -75.7755567",45.35463,-75.77556,Ottawa,K2C 3S1,Ontario,Canada,Champlain,For-Profit,,C,240,,,240,,,,240,,,,,,,,2,6/30/2025,Yes,
NH3437,FOYER ST-VIATEUR NURSING HOME,Genesis Gardens Inc.,Genesis Gardens Inc.,1003 Limoges Road South,"45.2934328, -75.2283783",45.29343,-75.22838,Limoges,K0A 2M0,Ontario,Canada,Champlain,For-Profit,,C,57,,,57,,,,57,,,,,,,,,6/30/2025,Yes,
NH1255,ALMONTE COUNTRY HAVEN,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,333 Country Street,"45.2183584, -76.1902566",45.21836,-76.19026,Almonte,K0A 1A0,Ontario,Canada,Champlain,For-Profit,,C,82,,,82,,,,82,,,,,,,,,6/30/2025,Yes,
NH3421,WOODLAND VILLA,0760444 B.C. Ltd As General Partner on behalf of OMNI Health Care Limited Partnership ,OMNI,30 Milles Roches Road,"45.0337953, -74.8872228",45.03380,-74.88722,Long Sault,K0C 1P0,Ontario,Canada,Champlain,For-Profit,,C,111,,,111,,,,111,,,,,,,,,6/30/2025,Yes,
