,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Measure ID,Application Nos,Application Stage,Application Status,Measure Code,Measure Category,Measure Type,Measure Name,Quantity,Is it Retrofit or New Construction?,Is it a New PV System or an Expansion of an Existing System?,Status of Interconnection Application,Latitude,Longitude,DC System Size (kW),Module Type,Array Type,Modelled Total System Losses (%),Tilt (deg),Azimuth (deg),Retail Electricity Rate ($/kWh),January AC Energy (kWh),February AC Energy (kWh),March AC Energy (kWh),April AC Energy (kWh),May AC Energy (kWh),June AC Energy (kWh),July AC Energy (kWh),August AC Energy (kWh),September AC Energy (kWh),October AC Energy (kWh),November AC Energy (kWh),December AC Energy (kWh),Total Annual AC Energy (kWh),Applicant Comments,Total Emissions Reduction,Total Electricity Savings,Equipment & Material Costs,Labour Cost,Design Cost,Total Cost,Actual Equipment & Material Costs,Actual Labour Cost,Actual Design Cost,Actual Total Cost,Measure Incentive,Applicable Measure Incentive,Maximum Eligible Measure Incentive,Total Eligible Measure Incentive,Maximum Applicable Measure Incentive,Total Applicable Measure Incentive,Application Stage : Application Status,AC_CALC,Comment
92,92,92,92,92,92,92,CUZRNvEFy5bgPNuaiNtP,ESB-10899,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.25279178,-113.6005072,170,Premium,Fixed - Open Rack,13,45,180,0.067,1,1,1,1,5000,10000,20000,20000,1,1,1,1,55008,,1853.18,0,252450,23050,5000,280500,252450,23050,5000,280500,85000,85000,70125,70125,70125,70125,Payment : Incentive Payment in Progress,232326,
93,93,93,93,93,93,93,CUwBa8pyfyA9uolia0mh,ESB-11319,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.485233,-111.793767,33.12,Standard,Fixed - Open Rack,8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,239.86,107.14,0,347,0,0,0,0,40,0,86.75,40,0,0,Pre-Approval : Application Submitted,42414.9,
94,94,94,94,94,94,94,CWF3U7a0xzlTLTbgmKIz,ESB-10654,Pre-Project,Application Information Requested,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,51.3546,-114.6404,5.52,Standard,Fixed - Open Rack,8,45,180,0.06766,900,700,700,650,675,470,370,380,750,1122,1075,650,8442,345W Panels,60.17,0,10769.1,2138.4,0,12907.5,0,0,0,0,3588,0,3226.875,3226.88,0,0,Pre-Project : Application Information Requested,7845.1,
95,95,95,95,95,95,95,CYBbfYcEJkaPorauUMD2,ESB-11112,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.862457,-113.30407,43.2,Premium,Fixed - Open Rack,25,30,180,0.06048,0,0,0,0,0,0,29869,0,0,0,0,17865,47734,Solar for irrigation pivot,470.92,0,66068.53,19200,3040,88308.53,0,0,0,0,21600,0,22077.1325,21600,0,0,Pre-Approval : Application Submitted,50027.7,
96,96,96,96,96,96,96,ClXNXZVB7tYzZwcBxsqb,ESB-10816,Payment,Incentive Recommended,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.485328,-112.64203,202.92,Standard,Fixed - Open Rack,25,30,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.31,0,5394.75,1275,0,6669.75,0,0,0,0,1050,0,1667.4375,1050,0,0,Payment : Incentive Recommended,234267.9,
97,97,97,97,97,97,97,Cs2cYeLSSz6KZ28Byuty,ESB-11282,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.955618,-110266150,155.4,Standard,Fixed - Open Rack,22.6,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.12,0,26253,800,125,27178,0,0,0,0,6000,0,13589,6000,0,0,Pre-Approval : Application Submitted,180632.7,Long
98,98,98,98,98,98,98,D15U0n94xYLCgv2pHCwT,ESB-11220,Post-Project,Application Draft,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,50.975886,-114.610867,12.32,Standard,Fixed - Roof Mount,20,23,220,0.089,311,1018,1592,2065,2151,2045,2028,1764,1637,1110,585,218,16524,1 array,134.3,0,17605.11,9204.45,0,26809.56,0,0,0,0,8008,0,6702.39,6702.39,0,0,Post-Project : Application Draft,13329.8,
99,99,99,99,99,99,99,D5GmwcTVzYan18vYVazw,ESB-10392,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.55200638,-112.511979,50.2,Standard,Fixed - Open Rack,15,45,180,0.08,4000,3800,3700,4000,2800,3000,8000,4000,3000,3300,10000,4000,53600,rate class 21,547.23,0,80346,5000,1500,86846,0,0,0,0,25100,0,21711.5,21711.5,0,0,Pre-Approval : Application Submitted,67977,
100,100,100,100,100,100,100,DJy4vT53x6IaA9E5brxb,ESB-11237,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.453997,-110.818653,21.6,Premium,Fixed - Open Rack,23,30,180,0.0576,1964,2271,2338,1355,1621,1518,1339,1726,1645,1564,1710,1770,20821,Ground mount solar,235.46,0,34716.25,8910,3876.75,47503,0,0,0,0,10800,0,11875.75,10800,0,0,Pre-Approval : Application Submitted,25563.2,
101,101,101,101,101,101,101,DOPctI6JrdVBtKKcudB0,ESB-10940,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.854679,-111.545611,31,Premium,Fixed - Open Rack,2530,30,180,0.06421,0,0,0,0,0,0,0,25504,0,0,0,820,26324,"The MG application has two sites listed, this application is for Site 2",337.93,0,21596.66,21596.66,21596.66,64789.98,0,0,0,0,15500,0,16197.495,15500,0,0,Pre-Approval : Application Submitted,43112,Losses
102,102,102,102,102,102,102,DXRimGBEmnuxXgWL4l4b,ESB-11521,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.6636,-116.234,18.27,Standard,Fixed - Open Rack,12,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55,0,2111.82,918.89,0,3030.71,0,0,0,0,360,0,757.6775,360,0,0,Pre-Approval : Application Submitted,21463.2,
103,103,103,103,103,103,103,DYsaIa6ivsGhN0ZvqcnP,ESB-11124,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,54.126847,-114.108148,15.23,Standard,Fixed - Roof Mount,20,18,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.94,0,1794,500,0,2294,0,0,0,0,1000,0,1147,1000,0,0,Pre-Approval : Application Submitted,15163.8,
104,104,104,104,104,104,104,DZKFAaaLrT8SwGUh95m1,ESB-11378,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,51.19,-113.93,683.4,Premium,Fixed - Roof Mount,13.3,10,180,0.06421,0,0,0,0,51177,69089,66145,67232,48791,212,0,0,302646,Solar for irrigation pumps,2354.62,0,295731.25,211406.25,7812.5,514950,0,0,0,0,108000,0,128737.5,108000,0,0,Pre-Approval : Application Submitted,764570.8,
105,105,105,105,105,105,105,DsbDrO70sRMPFaZ8JAQN,ESB-10894,Payment,Incentive Payment in Progress,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,51.742595,114.164287,15.66,Premium,Fixed - Roof Mount,14.08,18,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07,0,306.68,191,0,497.68,0,0,0,0,160,0,124.42,124.42,0,0,Payment : Incentive Payment in Progress,18000.1,Long
106,106,106,106,106,106,106,DzC08JzOzF3E5CsoUczR,ESB-11278,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.611499,-111.346816,216,Premium,Fixed - Open Rack,25,30,180,0.06421,0,0,0,0,51177,69089,66145,67232,48791,212,0,0,302646,Solar for irrigation pumps,2354.62,0,295731.25,211406.25,7812.5,514950,0,0,0,0,108000,0,128737.5,108000,0,0,Pre-Approval : Application Submitted,251356.5,
107,107,107,107,107,107,107,E2eylrpf8n7LZHffYmGN,ESB-11075,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.5576,-113.470539,21.58,Premium,Fixed - Roof Mount,5,18,90270,0.06,278.7,500.3,1269.9,2003.8,2640.3,2882.3,2882.9,2407,1492.2,902.1,307.5,177.1,17744.1,MG application to be sent when transformer is confirmed with Fortis,235.24,0,24817,20501,1500,46818,0,0,0,0,10790,0,11704.5,10790,0,0,Pre-Approval : Application Submitted,29833.5,azm
108,108,108,108,108,108,108,E6YZ8XfrH3IPyuIuHng7,ESB-11271,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.772168,-113.799042,28.8,Standard,Fixed - Roof Mount,15,34,180,0.075,778,1419,2813,3821,4706,4872,5018,4163,2691,1719,844,572,33416,New solar system on existing farm barns. Two barns on the property are getting solar. Identical buildings with identical solar layout. Note one barn can't be seen on google satellite imagery but it's there and both are facing south. Attached aerial view to supporting docs. Two roof pitches at 34 degrees and 18 degrees.,313.95,0,34649.77,14437.41,8662.44,57749.62,0,0,0,0,14400,0,14437.405,14400,0,0,Pre-Approval : Application Submitted,32821.6,
109,109,109,109,109,109,109,ELcbHKZsdoqzgY21PD8s,ESB-11420,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,55.18,-118.83,59.5,Premium,Fixed - Roof Mount,13,20,90,0.07,1300,2600,5400,7500,8400,8700,8400,7100,4900,2900,1400,945,59545,"Panels are the 425 watts from spec sheet above, as well as 15 kW inverters",648.61,0,53550,26775,8925,89250,0,0,0,0,29750,0,22312.5,22312.5,0,0,Pre-Approval : Application Submitted,53979.6,
110,110,110,110,110,110,110,EPYNBk18toVCjHXjCjSw,ESB-10051,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.07124,-113.99579,34.2,Standard,Fixed - Roof Mount,11.3,10,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,2400,600,0,3000,0,0,0,0,450,0,750,450,0,0,Pre-Approval : Application Submitted,39784.4,
111,111,111,111,111,111,111,ESU8DvUyRlbJlIf0L9aB,ESB-11129,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.828489,-111.563345,21.36,Standard,Fixed - Open Rack,24.5,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.76,0,11514,5700,0,17214,0,0,0,0,3990,0,4303.5,3990,0,0,Payment : Incentive Payment in Progress,24604,
112,112,112,112,112,112,112,ETM15kQzF0gTUooYBY8m,ESB-10499,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,0,0,49.789216,-111.545624,61.9,Premium,Fixed - Open Rack,28.6,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.76,0,11514,5700,0,17214,0,0,0,0,3990,0,4303.5,3990,0,0,Pre-Approval : Application Submitted,68307.7,
113,113,113,113,113,113,113,EVR9EoTU7IOAZxmTOojd,ESB-11009,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,52.4885,-110.2388,16.56,Standard,Fixed - Open Rack,8,45,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.58,0,29665.5,0,0,29665.5,0,0,0,0,0,0,0,504,0,0,Pre-Approval : Application Submitted,22240.9,
114,114,114,114,114,114,114,FRNrKKOQWlBISPZs3IKq,ESB-10569,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,0,0,49.711144,-112.728323,657.7,Standard,Fixed - Open Rack,17,10,165,0.125,28400,43500,66600,80100,91800,96100,107700,92400,66600,54500,31400,23700,782800,none,7169.61,0,726750,94050,34200,855000,0,0,0,0,328850,0,213750,213750,0,0,Pre-Approval : Application Submitted,749811.4,
115,115,115,115,115,115,115,FTrDHn3JfJKlCcCtHsl7,ESB-11516,Pre-Approval,Application Draft Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.703224,-112.781296,473.9,Premium,Fixed - Roof Mount,13.8,10,179,0.195,22336.3,33364.6,54559.2,66252.9,78938.3,84566.6,87268,75881.5,53520.9,39865.7,23071.2,17529.9,637155.1,Multi-facial modules (will enhance lifetime efficiency of modules),5166,0,617900.4,142155,142516.03,902571.43,0,0,0,0,236950,0,225642.8575,225642.86,0,0,Pre-Approval : Application Draft Approved,562166.4,
116,116,116,116,116,116,116,FTudZVS9ROeQJVDUJ70c,ESB-10155,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,52.14444,-114.26961,154.56,Standard,Fixed - Open Rack,8,45,180,0.0669,12628,12424,9645,14736,20506,21992,26453,27534,24839,13998,12193,11881,208829,345W Panels,1684.86,0,278232.3,59875.2,0,338107.5,0,0,0,0,77280,0,84526.875,77280,0,0,Pre-Approval : Application Submitted,198224.1,
117,117,117,117,117,117,117,FeFzTCSXhcEm1P7uRwyx,ESB-11531,Pre-Project,Application Information Requested,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,53.1217,-113.2179,12.18,Standard,Fixed - Open Rack,15,30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.52,0,2713.2,595,0,3308.2,0,0,0,0,875,0,827.05,827.05,0,0,Pre-Project : Application Information Requested,14253.8,
118,118,118,118,118,118,118,FoieIvxMCnwm0TCpMurE,ESB-10492,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,50.99179,-113.90635,210.6,Standard,Fixed - Roof Mount,11.6,5,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,1416.8,400,0,1816.8,0,0,0,0,560,0,454.2,454.2,0,0,Pre-Approval : Application Submitted,225156.7,
119,119,119,119,119,119,119,GLtXX25iDSjnDUWr4dth,ESB-11489,Payment,Incentive Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,53.47283,-113.47781,193.8,Premium,Fixed - Roof Mount,35.2,0,180,6.87,1380.6,5797.6,8640.3,19923.4,27766,27311.3,28554.8,25793.8,18165.9,10304.9,2729.6,1012.4,177380.6,Interconnection Applied,2112.62,0,182605.7,46800,24890,254295.7,182605.7,46800,24890,254295.7,96900,96900,63573.925,63573.93,63573.925,63573.93,Payment : Incentive Approved,138123.5,
120,120,120,120,120,120,120,GPDfoPnUTGl4h7UiUVIy,ESB-10557,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.4342,-113.6208,22.08,Standard,Fixed - Open Rack,8,45,180,0.06541,2959,2185,2529,2415,1634,1188,1261,1236,2769,1820,1906,2024,23926,345W Panels,240.69,0,41793.9,8553.6,0,50347.5,0,0,0,0,11040,0,12586.875,11040,0,0,Pre-Approval : Application Submitted,29463.4,
121,121,121,121,121,121,121,GV72jSMxMMugC50IHlKK,ESB-10277,Payment,Incentive Approved,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.56872,-113.57027,26.42,Premium,Fixed - Roof Mount,11.42,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,0,900,0,0,900,0,0,0,0,480,0,225,225,0,0,Payment : Incentive Approved,28668.4,
122,122,122,122,122,122,122,H1RkLfkJw2Ns3k9rB7PP,ESB-11493,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,New Construction,New PV System,0,50.613526,-114.113836,12.144,Standard,Fixed - Open Rack,8.7,35,180,0.0673,1091,1212,1646,1701,1852,1849,2069,1898,1553,1500,983,825,18179,Equipment based on availability,132.38,0,18350.22,3634.88,2004.68,23989.78,0,0,0,0,7893.6,0,5997.445,5997.45,0,0,Pre-Approval : Application Submitted,16196.3,
123,123,123,123,123,123,123,H8X3jB2huOSlcnPZSyOO,ESB-11324,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,Expansion of an Existing System,0,50.022782,-112.835225,49.68,Standard,Fixed - Open Rack,8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.47,0,24172.44,4888.8,2000,31061.24,0,0,0,0,6000,0,7765.31,6000,0,0,Pre-Approval : Application Submitted,70420.4,
124,124,124,124,124,124,124,H9DiibD67OPBNasffZXH,ESB-10377,Pre-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,51.067153,-114.065774,18.3,Standard,Fixed - Roof Mount,15,10,180,0.1,400,700,1800,2400,2900,3000,3100,2700,1800,900,400,300,20400,Fronius 15kW,199.49,0,19000,6000,3500,28500,0,0,0,0,9150,0,7125,7125,0,0,Pre-Project : Application Information Requested,20444.4,
125,125,125,125,125,125,125,HIgK6zkF7WnnnH4CBmOm,ESB-10808,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,49.61141299,-112.3982003,49.3,Premium,Fixed - Open Rack,15,45,180,0.06,5000,5000,4000,3000,2000,2000,3000,4000,5000,4000,4000,4000,45000,rate class 21,537.42,0,83519,5000,1700,90219,0,0,0,0,24650,0,22554.75,22554.75,0,0,Pre-Approval : Application Submitted,67352.1,
126,126,126,126,126,126,126,HLqfi5gjm3n8LyNrwUnA,ESB-10039,Payment,Incentive Payment in Progress,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,0,0,49.3644,-113.507446,35.7,Premium,Fixed - Open Rack,2,45,180,0.08,560,937,1030,800,600,600,473,500,530,520,830,800,8180,Facility Rate Class 41,389.17,0,58942,9000,3500,71442,58942,9000,3500,71442,17850,17850,17860.5,17850,17860.5,17850,Payment : Incentive Payment in Progress,54456.8,
127,127,127,127,127,127,127,HOCNjTcCfvN2mqUJi8uh,ESB-10931,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,49.917461,-111.246937,290.25,Premium,Fixed - Open Rack,5,35,180,0.0597,80,80,160,80,80,14240,21680,64800,73840,24960,31520,160,231680,SLD to be revised after geotech investigation and foundation design,3164.03,0,404349,111406,12500,528255,0,0,0,0,145125,0,132063.75,132063.75,0,0,Pre-Approval : Application Submitted,420908.8,
128,128,128,128,128,128,128,HOyhSPhCbKkVUa8wcDZ3,ESB-11236,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,50.950894,-112.821689,18.7,Standard,Fixed - Roof Mount,18.6,30,180,0.06,0,0,0,0,3000,4000,4000,4000,3000,2000,0,0,20000,Utility Rate Code 26 Irrigation,203.85,0,20895,10907,1000,32802,0,0,0,0,9350,0,8200.5,8200.5,0,0,Pre-Approval : Application Submitted,22031.4,
129,129,129,129,129,129,129,HZAC8y3pv5PqnfMLv81B,ESB-10028,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,New Construction,New PV System,0,51.20970572,-112.4707884,12.75,Standard,Fixed - Open Rack,11.2,45,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,3534.84,1341.36,0,4876.2,0,0,0,0,720,0,2438.1,720,0,0,Pre-Approval : Application Submitted,17008.2,
130,130,130,130,130,130,130,Hjx48x3tVYWbFx7FTlUq,ESB-10148,Post-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,52.296206,-113.863749,24,Premium,Fixed - Roof Mount,0.015,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,0,1620.24,3951.36,0,5571.6,0,0,0,0,560,0,1392.9,560,0,0,Post-Project : Application Information Requested,30254.9,
131,131,131,131,131,131,131,HusDHsb6ZXST7ATed8W8,ESB-10080,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.48251,11347492,58.5,Standard,Fixed - Roof Mount,10.7,10,162,0.0642,852,1699,4950,5928,9432,10217,8090,7822,5722,2721,1578,297,59308,"Modelled System losses are based on site specific data, equipment losses and analysis of historical production data of KCP Energy systems located nearby",637.71,0,77805,30011,3335,111151,0,0,0,0,29250,0,27787.75,27787.75,0,0,Pre-Approval : Application Submitted,62194.4,Long
132,132,132,132,132,132,132,Hv3nxIKbrkubVhcpyIfJ,ESB-10660,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,50.72,113.98,24.8,Standard,Fixed - Roof Mount,11.4,15,179,0.068,780,1663,892,1441,3382,2853,1800,2946,1289,1053,1783,1547,21429,Looking to offset common area costs of the building and hopefully pave the way for doing the other building to become fully net-zero.,270.35,0,34900,18000,0,52900,0,0,0,0,12400,0,13225,12400,0,0,Pre-Approval : Application Submitted,29499.8,Long
133,133,133,133,133,133,133,I7gMl3LQtQCZ6IzOs46d,ESB-11301,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,50.760783,-110.259727,11.04,Standard,Fixed - Open Rack,8,35,180,0.07623,1350,1250,1500,1435,1250,1025,1100,1150,1025,1060,1125,1300,14570,345W solar modules,120.35,0,17931.5,6264,0,24195.5,0,0,0,0,7176,0,6048.875,6048.88,0,0,Pre-Approval : Application Submitted,15142.1,
134,134,134,134,134,134,134,IJ7qSRa1x1QKJFl2j6jR,ESB-11171,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.02234,-114.02335,42.5,Premium,Fixed - Roof Mount,15,10,180,0.08,481.5,735.8,3451.1,5686.3,6727.4,7069.4,7319.8,6414.3,4673.7,2966.6,1305.6,501.7,47333.2,No comments,463.29,0,61000,10000,5000,76000,0,0,0,0,21250,0,19000,19000,0,0,Pre-Approval : Application Submitted,48348.7,
135,135,135,135,135,135,135,JN5rTWx0w3XjpBS3yNcn,ESB-11495,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,50.96,-113.94,73.1,Premium,Fixed - Roof Mount,12,10,180,0.07,3100,4800,7800,9200,11000,11300,12400,10400,7500,6000,3300,2300,89100,"Panels are the 425 watts from spec sheet above, as well as 33 ktl inverters",796.87,0,65850,32925,10975,109750,0,0,0,0,36550,0,27437.5,27437.5,0,0,Pre-Approval : Application Submitted,84280.6,
136,136,136,136,136,136,136,JddF4OoAi8VNBjzVvleC,ESB-11480,Pre-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.583877,-114.267814,27.6,Standard,Fixed - Open Rack,8,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,540,240,0,780,0,0,0,0,160,0,195,160,0,0,Pre-Project : Application Information Requested,35919.5,
137,137,137,137,137,137,137,K3D31jLT2W9Q9jnW0h33,ESB-11463,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,55.623435,-116.403226,16.2,Standard,Fixed - Open Rack,12,35,180,0.063038,682,935,1641,2362,2501,2439,2699,2321,1778,1273,756,613,20000,This is a resubmission because we had a chat with an ESB reviewer and it was recommended that we resubmit from scratch to ensure all documents are provided and to increase our chances of being approved for the rebate.,176.6,0,33990.84,8715.6,871.56,43578,0,0,0,0,8100,0,10894.5,8100,0,0,Pre-Approval : Application Submitted,18956.3,
138,138,138,138,138,138,138,K8rHj6rQEsXYy0bjZZfF,ESB-11450,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,52.4033,-113.6937,128,Standard,Fixed - Open Rack,20,35,180,0.068,6880,7724,12181,16778,17875,17420,18855,17894,13781,10819,8217,6294,154718,"Resubmission - If the initial application is accepted, please ignore this.  We've had almost all our recent applications rejected, and the ESB Representative suggested that we re-submit all our applications again with all the info requested on the March 17th email.  This application was submitted on March 17th, so I'm not 100% sure how it will be treated, so just being extra cautious as it's really important to Mike that he gets the funding for this project.  Thanks for understanding and sorry if this causes you any additional work!",1395.33,0,232627.2,59648,5964.8,298240,0,0,0,0,64000,0,74560,64000,0,0,Pre-Approval : Application Submitted,144533.6,
